cycle,instant_energy,cumulative_energy
713,-1.39,-1.206778711
714,-1.35,-1.206979021
715,-1.31,-1.207122905
716,-1.37,-1.20735007
717,-1.28,-1.207451253
718,-1.29,-1.207566064
719,-1.24,-1.207611111
720,-1.27,-1.207697642
721,-1.28,-1.207797784
722,-1.35,-1.207994467
723,-1.24,-1.208038674
724,-1.14,-1.207944828
725,-1.21,-1.207947658
726,-1.25,-1.208005502
727,-1.22,-1.208021978
728,-1.21,-1.208024691
729,-1.28,-1.208123288
730,-1.19,-1.208098495
731,-1.24,-1.208142077
732,-1.21,-1.208144611
733,-1.25,-1.208201635
734,-1.12,-1.208081633
735,-1.08,-1.207907609
736,-1.2,-1.207896879
737,-1.35,-1.208089431
738,-1.31,-1.208227334
739,-1.41,-1.2085
740,-1.28,-1.208596491
741,-1.38,-1.208827493
742,-1.15,-1.208748318
743,-1.33,-1.20891129
744,-1.44,-1.209221477
745,-1.41,-1.209490617
746,-1.48,-1.209852744
747,-1.49,-1.210227273
748,-1.53,-1.210654206
749,-1.45,-1.210973333
750,-1.6,-1.211491345
751,-1.51,-1.211888298
752,-1.51,-1.212284197
753,-1.55,-1.212732095
754,-1.62,-1.213271523
755,-1.49,-1.213637566
756,-1.6,-1.214147952
757,-1.49,-1.214511873
758,-1.41,-1.214769433
759,-1.22,-1.214776316
760,-1.39,-1.21500657
761,-1.43,-1.215288714
762,-1.43,-1.215570118
763,-1.51,-1.215955497
764,-1.39,-1.216183007
765,-1.26,-1.216240209
766,-1.43,-1.216518905
767,-1.56,-1.216966146
768,-1.53,-1.217373212
769,-1.5,-1.21774026
770,-1.49,-1.218093385
771,-1.47,-1.218419689
772,-1.4,-1.218654592
773,-1.46,-1.218966408
774,-1.35,-1.219135484
775,-1.47,-1.219458763
776,-1.42,-1.21971686
777,-1.51,-1.220089974
778,-1.48,-1.22042362
779,-1.44,-1.220705128
780,-1.46,-1.221011524
781,-1.47,-1.221329923
782,-1.39,-1.221545338
783,-1.51,-1.221913265
784,-1.21,-1.221898089
785,-1.4,-1.222124682
786,-1.54,-1.22252859
787,-1.54,-1.222931472
788,-1.54,-1.223333333
789,-1.58,-1.22378481
790,-1.36,-1.223957016
791,-1.41,-1.224191919
792,-1.32,-1.224312736
793,-1.33,-1.224445844
794,-1.18,-1.224389937
795,-1.38,-1.224585427
796,-1.46,-1.224880803
797,-1.32,-1.225
798,-1.36,-1.225168961
799,-1.35,-1.225325
800,-1.24,-1.225343321
801,-1.25,-1.225374065
802,-1.29,-1.225454545
803,-1.23,-1.225460199
804,-1.19,-1.225416149
805,-1.27,-1.225471464
806,-1.31,-1.225576208
807,-1.27,-1.225631188
808,-1.22,-1.225624227
809,-1.26,-1.225666667
810,-1.21,-1.225647349
811,-1.26,-1.225689655
812,-1.33,-1.225817958
813,-1.42,-1.226056511
814,-1.35,-1.226208589
815,-1.52,-1.226568627
816,-1.33,-1.226695226
817,-1.36,-1.226858191
818,-1.33,-1.226984127
819,-1.34,-1.227121951
820,-1.31,-1.227222899
821,-1.33,-1.227347932
822,-1.39,-1.227545565
823,-1.44,-1.227803398
824,-1.31,-1.22790303
825,-1.36,-1.228062954
826,-1.41,-1.22828295
827,-1.48,-1.228586957
828,-1.35,-1.228733414
829,-1.04,-1.228506024
830,-1.23,-1.228507822
831,-1.36,-1.228665865
832,-1.21,-1.228643457
833,-1.27,-1.228693046
834,-1.36,-1.228850299
835,-1.35,-1.228995215
836,-1.26,-1.229032258
837,-1.33,-1.229152745
838,-1.46,-1.22942789
839,-1.4,-1.229630952
840,-1.29,-1.229702735
841,-1.38,-1.229881235
842,-1.33,-1.23
843,-1.34,-1.230130332
844,-1.35,-1.230272189
845,-1.27,-1.230319149
846,-1.34,-1.230448642
847,-1.41,-1.230660377
848,-1.22,-1.230647821
849,-1.32,-1.230752941
850,-1.18,-1.230693302
851,-1.16,-1.230610329
852,-1.05,-1.230398593
853,-1.16,-1.230316159
854,-1.22,-1.230304094
855,-1.25,-1.230327103
856,-1.18,-1.230268378
857,-1.3,-1.23034965
858,-1.23,-1.230349243
859,-1.22,-1.230337209
860,-1.21,-1.230313589
861,-1.12,-1.230185615
862,-1.09,-1.230023175
863,-1.19,-1.229976852
864,-1.11,-1.22983815
865,-1.14,-1.229734411
866,-1.03,-1.229504037
867,-1.1,-1.229354839
868,-1.03,-1.229125432
869,-1.03,-1.228896552
870,-1,-1.228633754
871,-1.13,-1.228520642
872,-1.09,-1.22836197
873,-1.19,-1.228318078
874,-1.22,-1.228308571
875,-1.13,-1.228196347
876,-1.12,-1.228072976
877,-1.18,-1.228018223
