t,x,y,z
7.4625,23.778,-8.0113,19.9989
7.475,23.5399,-7.80891,19.9989
7.4875,23.308,-7.59945,19.9989
7.5,23.0825,-7.3831,19.9989
7.5125,22.8636,-7.16006,19.9989
7.525,22.6516,-6.93054,19.9989
7.5375,22.4465,-6.69474,19.9989
7.55,22.2486,-6.45288,19.9989
7.5625,22.0581,-6.20518,19.9989
7.575,21.8752,-5.95185,19.9989
7.5875,21.6999,-5.69313,19.9989
7.6,21.5325,-5.42925,19.9989
7.6125,21.3732,-5.16046,19.9989
7.625,21.222,-4.88699,19.9989
7.6375,21.079,-4.6091,19.9989
7.65,20.9446,-4.32703,19.9989
7.6625,20.8186,-4.04104,19.9989
7.675,20.7014,-3.7514,19.9989
7.6875,20.5929,-3.45835,19.9989
7.7,20.4932,-3.16217,19.9989
7.7125,20.4025,-2.86313,19.9989
7.725,20.3209,-2.56149,19.9989
7.7375,20.2484,-2.25754,19.9988
7.75,20.185,-1.95154,19.9988
7.7625,20.1309,-1.64377,19.9988
7.775,20.0861,-1.33451,19.9988
7.7875,20.0506,-1.02405,19.9988
7.8,20.0245,-0.712652,19.9988
7.8125,20.0077,-0.400613,19.9988
7.825,20.0004,-0.0882114,19.9988
7.8375,20.0024,0.22427,19.9988
7.85,20.0139,0.536548,19.9988
7.8625,20.0347,0.84834,19.9988
7.875,20.0649,1.15936,19.9988
7.8875,20.1045,1.46934,19.9988
7.9,20.1534,1.77798,19.9988
7.9125,20.2115,2.08501,19.9988
7.925,20.2789,2.39015,19.9988
7.9375,20.3554,2.69313,19.9988
7.95,20.441,2.99367,19.9988
7.9625,20.5356,3.2915,19.9988
7.975,20.6391,3.58634,19.9988
7.9875,20.7514,3.87794,19.9988
8,20.8725,4.16602,19.9988
8.0125,21.0022,4.45033,19.9988
8.025,21.1403,4.73061,19.9988
8.0375,21.2869,5.00661,19.9988
8.05,21.4417,5.27807,19.9988
8.0625,21.6046,5.54475,19.9987
8.075,21.7754,5.8064,19.9987
8.0875,21.954,6.0628,19.9987
8.1,22.1403,6.3137,19.9987
8.1125,22.334,6.55889,19.9987
8.125,22.5351,6.79813,19.9987
8.1375,22.7432,7.03122,19.9987
8.15,22.9582,7.25794,19.9987
8.1625,23.18,7.47808,19.9987
8.175,23.4083,7.69145,19.9987
8.1875,23.6429,7.89785,19.9987
8.2,23.8837,8.0971,19.9987
8.2125,24.1303,8.28901,19.9987
8.225,24.3826,8.47342,19.9987
8.2375,24.6403,8.65015,19.9987
8.25,24.9032,8.81905,19.9987
8.2625,25.1711,8.97995,19.9987
8.275,25.4437,9.13273,19.9987
8.2875,25.7207,9.27723,19.9987
8.3,26.002,9.41333,19.9987
8.3125,26.2873,9.5409,19.9987
8.325,26.5763,9.65982,19.9987
8.3375,26.8687,9.77,19.9987
8.35,27.1643,9.87133,19.9987
8.3625,27.4628,9.96372,19.9987
8.375,27.764,10.0471,19.9986
8.3875,28.0675,10.1213,19.9986
8.4,28.3731,10.1864,19.9986
8.4125,28.6806,10.2423,19.9986
8.425,28.9896,10.2889,19.9986
8.4375,29.2998,10.3262,19.9986
8.45,29.6111,10.3541,19.9986
8.4625,29.923,10.3726,19.9986
8.475,30.2354,10.3818,19.9986
8.4875,30.5479,10.3815,19.9986
8.5,30.8602,10.3718,19.9986
8.5125,31.1721,10.3528,19.9986
8.525,31.4833,10.3243,19.9986
8.5375,31.7935,10.2865,19.9986
8.55,32.1024,10.2394,19.9986
8.5625,32.4098,10.1831,19.9986
8.575,32.7153,10.1174,19.9986
8.5875,33.0187,10.0427,19.9986
8.6,33.3197,9.95881,19.9986
8.6125,33.6181,9.86592,19.9986
8.625,33.9135,9.76409,19.9986
8.6375,34.2058,9.65342,19.9986
8.65,34.4945,9.53401,19.9986
8.6625,34.7796,9.40596,19.9986
8.675,35.0606,9.26939,19.9986
8.6875,35.3375,9.12443,19.9985
8.7,35.6098,8.9712,19.9985
8.7125,35.8774,8.80984,19.9985
8.725,36.14,8.6405,19.9985
8.7375,36.3975,8.46334,19.9985
8.75,36.6494,8.27851,19.9985
8.7625,36.8957,8.08618,19.9985
8.775,37.1361,7.88653,19.9985
8.7875,37.3704,7.67973,19.9985
8.8,37.5983,7.46598,19.9985
8.8125,37.8197,7.24547,19.9985
8.825,38.0344,7.01839,19.9985
8.8375,38.2422,6.78495,19.9985
8.85,38.4428,6.54537,19.9985
8.8625,38.6361,6.29986,19.9985
8.875,38.8219,6.04864,19.9985
8.8875,39.0002,5.79195,19.9985
8.9,39.1705,5.53001,19.9985
8.9125,39.333,5.26305,19.9985
8.925,39.4873,4.99134,19.9985
8.9375,39.6334,4.7151,19.9985
