t,x1,y1,z1,x2,y2,z2
2.0875,24.6469,-9.0402,22.9431,39.0138,8.36062,7.50236
2.1,24.3433,-8.91875,22.9809,38.5486,8.50164,7.52703
2.1125,24.0431,-8.78866,23.0191,38.0882,8.65705,7.55128
2.125,23.7466,-8.65006,23.0577,37.6331,8.82671,7.57512
2.1375,23.454,-8.50305,23.0967,37.1836,9.01044,7.59854
2.15,23.1655,-8.34778,23.1362,36.7403,9.20808,7.62154
2.1625,22.8815,-8.18435,23.176,36.3035,9.41945,7.64412
2.175,22.6021,-8.01293,23.2163,35.8737,9.64433,7.66628
2.1875,22.3277,-7.83365,23.2571,35.4512,9.88253,7.688
2.2,22.0584,-7.64667,23.2982,35.0364,10.1338,7.7093
2.2125,21.7944,-7.45216,23.3398,34.6297,10.3979,7.73017
2.225,21.5361,-7.25027,23.3818,34.2316,10.6747,7.75061
2.2375,21.2836,-7.04118,23.4242,33.8423,10.9637,7.77061
2.25,21.0372,-6.82508,23.4671,33.4622,11.2649,7.79019
2.2625,20.797,-6.60215,23.5104,33.0918,11.5778,7.80932
2.275,20.5633,-6.37259,23.5541,32.7312,11.9023,7.82803
2.2875,20.3362,-6.13659,23.5983,32.381,12.2379,7.8463
2.3,20.116,-5.89436,23.6429,32.0413,12.5844,7.86414
2.3125,19.9029,-5.64611,23.688,31.7126,12.9415,7.88154
2.325,19.6969,-5.39206,23.7334,31.395,13.3088,7.89851
2.3375,19.4984,-5.13243,23.7793,31.0891,13.686,7.91505
2.35,19.3075,-4.86743,23.8257,30.7949,14.0728,7.93117
2.3625,19.1243,-4.59732,23.8724,30.5128,14.4687,7.94685
2.375,18.949,-4.32231,23.9196,30.2431,14.8734,7.96211
2.3875,18.7818,-4.04265,23.9672,29.9859,15.2866,7.97695
2.4,18.6227,-3.75859,24.0152,29.7417,15.7078,7.99137
2.4125,18.472,-3.47036,24.0637,29.5105,16.1367,8.00537
2.425,18.3297,-3.17823,24.1126,29.2926,16.5728,8.01895
2.4375,18.196,-2.88245,24.1618,29.0882,17.0158,8.03212
2.45,18.0709,-2.58327,24.2115,28.8976,17.4652,8.04488
2.4625,17.9546,-2.28096,24.2616,28.7208,17.9207,8.05724
2.475,17.8472,-1.97578,24.3121,28.5581,18.3818,8.0692
2.4875,17.7488,-1.668,24.363,28.4096,18.848,8.08076
2.5,17.6593,-1.35788,24.4143,28.2755,19.319,8.09192
2.5125,17.579,-1.0457,24.466,28.1559,19.7943,8.1027
