t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
1.8375,37.4135,-17.0905,5.84027,-25.8129,-16.4141,-13.2671,58.5574,0.603131,6.8947,-36.5285,-28.1046,1.46007
1.85,37.0885,-17.2911,5.67422,-26.184,-15.6833,-13.3017,58.0966,0.258746,6.91269,-37.1823,-26.994,1.41855
1.8625,36.759,-17.4826,5.50773,-26.5339,-14.9421,-13.3354,57.6279,-0.0716422,6.93017,-37.8038,-25.8652,1.37693
1.875,36.4252,-17.6647,5.34084,-26.8623,-14.1914,-13.368,57.1517,-0.387811,6.94712,-38.3926,-24.7191,1.33521
1.8875,36.0875,-17.8373,5.17354,-27.169,-13.4316,-13.3996,56.6683,-0.689552,6.96355,-38.948,-23.5568,1.29338
1.9,35.7461,-18.0004,5.00585,-27.4537,-12.6634,-13.4302,56.1781,-0.976666,6.97945,-39.4696,-22.3791,1.25146
1.9125,35.4012,-18.1539,4.83779,-27.7163,-11.8875,-13.4598,55.6817,-1.24897,6.99483,-39.9571,-21.1871,1.20945
1.925,35.0533,-18.2976,4.66936,-27.9564,-11.1044,-13.4884,55.1793,-1.50629,7.00969,-40.4101,-19.9817,1.16734
1.9375,34.7024,-18.4314,4.50058,-28.1738,-10.3149,-13.5159,54.6716,-1.74846,7.02401,-40.828,-18.764,1.12515
1.95,34.349,-18.5554,4.33147,-28.3685,-9.51954,-13.5425,54.1588,-1.97534,7.03781,-41.2107,-17.5349,1.08287
1.9625,33.9933,-18.6694,4.16202,-28.5403,-8.71903,-13.568,53.6414,-2.18679,7.05109,-41.5578,-16.2955,1.04051
1.975,33.6356,-18.7734,3.99227,-28.6889,-7.91404,-13.5926,53.12,-2.38269,7.06383,-41.8689,-15.0468,0.998067
1.9875,33.2762,-18.8672,3.82221,-28.8144,-7.10521,-13.616,52.5949,-2.56293,7.07604,-42.144,-13.7899,0.955554
2,32.9153,-18.951,3.65187,-28.9165,-6.29323,-13.6385,52.0665,-2.72741,7.08772,-42.3827,-12.5257,0.912968
2.0125,32.5534,-19.0246,3.48126,-28.9952,-5.47876,-13.66,51.5355,-2.87604,7.09886,-42.5848,-11.2554,0.870314
2.025,32.1906,-19.0879,3.31038,-29.0505,-4.66248,-13.6804,51.0021,-3.00877,7.10947,-42.7503,-9.97998,0.827594
