t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
1.1375,41.5824,1.83066,14.9226,11.6212,-27.538,-8.72962,64.5707,31.9055,4.28132,28.8907,-42.6795,2.40627
1.15,41.7231,1.4842,14.8129,10.8957,-27.8933,-8.81147,64.9251,31.3673,4.31119,27.8061,-43.4162,2.37293
1.1625,41.8547,1.13342,14.7023,10.16,-28.2276,-8.89273,65.2658,30.8202,4.34064,26.701,-44.1217,2.33947
1.175,41.9771,0.778596,14.5906,9.41475,-28.5407,-8.97338,65.5925,30.2644,4.36968,25.5765,-44.7953,2.3059
1.1875,42.0901,0.419992,14.4779,8.6605,-28.8322,-9.05343,65.9051,29.7004,4.39829,24.4333,-45.4364,2.27223
1.2,42.1936,0.0578811,14.3643,7.89788,-29.102,-9.13285,66.2033,29.1287,4.42648,23.2725,-46.0447,2.23845
1.2125,42.2875,-0.307465,14.2496,7.12753,-29.3497,-9.21165,66.4868,28.5495,4.45425,22.095,-46.6195,2.20456
1.225,42.3717,-0.675769,14.134,6.35008,-29.5752,-9.28981,66.7556,27.9633,4.4816,20.9018,-47.1605,2.17057
1.2375,42.4462,-1.04675,14.0174,5.56616,-29.7783,-9.36734,67.0093,27.3706,4.50851,19.6938,-47.6671,2.13647
1.25,42.5109,-1.42013,13.8998,4.77643,-29.9589,-9.44423,67.2479,26.7718,4.53501,18.4722,-48.1389,2.10228
1.2625,42.5656,-1.79563,13.7813,3.98152,-30.1166,-9.52046,67.4711,26.1673,4.56107,17.2378,-48.5756,2.06798
1.275,42.6104,-2.17295,13.6618,3.1821,-30.2515,-9.59603,67.6788,25.5575,4.58671,15.9917,-48.9769,2.03359
1.2875,42.6451,-2.55182,13.5414,2.37881,-30.3634,-9.67094,67.8708,24.943,4.61191,14.7349,-49.3423,1.99911
1.3,42.6698,-2.93194,13.42,1.57231,-30.4522,-9.74518,68.0471,24.3241,4.63668,13.4685,-49.6716,1.96453
1.3125,42.6844,-3.31303,13.2978,0.763277,-30.5179,-9.81875,68.2075,23.7014,4.66102,12.1935,-49.9645,1.92987
1.325,42.6889,-3.69479,13.1746,-0.0476398,-30.5602,-9.89163,68.3519,23.0752,4.68493,10.911,-50.2209,1.89511
1.3375,42.6832,-4.07694,13.0505,-0.859772,-30.5793,-9.96383,68.4802,22.446,4.7084,9.62206,-50.4404,1.86027
1.35,42.6674,-4.45918,12.9255,-1.67245,-30.5751,-10.0353,68.5924,21.8143,4.73144,8.32769,-50.623,1.82535
1.3625,42.6414,-4.84122,12.7996,-2.48502,-30.5476,-10.1061,68.6884,21.1806,4.75404,7.02899,-50.7684,1.79035
1.375,42.6053,-5.22277,12.6728,-3.29681,-30.4968,-10.1762,68.7681,20.5452,4.7762,5.72705,-50.8766,1.75527
1.3875,42.559,-5.60354,12.5452,-4.10715,-30.4227,-10.2456,68.8316,19.9088,4.79792,4.42293,-50.9475,1.72011
1.4,42.5026,-5.98324,12.4167,-4.91538,-30.3254,-10.3143,68.8787,19.2717,4.8192,3.11772,-50.9811,1.68489
1.4125,42.4361,-6.36158,12.2873,-5.72084,-30.205,-10.3823,68.9095,18.6344,4.84004,1.8125,-50.9772,1.64959
1.425,42.3596,-6.73827,12.1571,-6.52288,-30.0616,-10.4495,68.924,17.9974,4.86044,0.508352,-50.936,1.61423
1.4375,42.2731,-7.11303,12.0261,-7.32083,-29.8952,-10.516,68.9222,17.3612,4.8804,-0.793641,-50.8574,1.5788
1.45,42.1766,-7.48556,11.8942,-8.11404,-29.706,-10.5818,68.9042,16.7262,4.89991,-2.0924,-50.7417,1.54332
